Age,BMI,Daily_Calories,Protein,Carbohydrates,Fat,Fiber,Nutrition_Category
59,18.4,2236.0,80.0,214.6,82.2,38.3,Balanced
45,33.2,1452.0,32.4,191.0,51.9,11.5,Low Nutrition Intake
33,29.4,1419.0,49.1,232.1,49.3,17.3,Low Nutrition Intake
32,18.5,2805.0,78.4,343.9,121.9,21.8,High Calorie Intake
64,35.3,2294.0,72.9,251.9,90.3,22.9,Balanced
61,42.9,3307.0,77.4,363.3,78.1,17.1,High Calorie Intake
20,39.8,2981.0,100.9,337.0,150.9,17.9,High Calorie Intake
54,18.6,3078.0,62.5,395.7,114.5,20.7,High Calorie Intake
24,23.2,1896.0,97.7,274.5,73.5,23.7,Balanced
38,45.6,1909.0,79.0,267.5,45.6,29.8,Balanced
26,36.2,3289.0,60.3,328.9,98.9,16.1,High Calorie Intake
56,18.4,2081.0,77.1,268.9,45.8,17.5,Balanced
35,15.6,900.0,56.3,190.5,52.6,9.4,Low Nutrition Intake
21,32.0,2958.0,75.4,351.9,73.9,24.7,High Calorie Intake
42,41.9,3426.0,65.9,405.5,95.3,11.0,High Calorie Intake
31,23.3,2625.0,54.8,248.6,66.2,34.9,Balanced
26,30.3,1665.0,24.9,189.9,40.3,13.1,Low Nutrition Intake
43,16.5,2311.0,58.3,243.7,71.7,29.1,Balanced
19,33.2,3001.0,67.4,374.0,119.8,16.2,High Calorie Intake
37,39.8,2596.0,52.3,305.5,134.1,20.0,High Calorie Intake
45,26.6,1424.0,39.6,169.9,53.1,21.6,Low Nutrition Intake
64,28.6,1305.0,58.7,191.0,37.5,20.0,Low Nutrition Intake
24,30.3,2947.0,76.7,392.4,72.5,17.4,High Calorie Intake
61,17.0,2004.0,58.1,239.3,57.6,31.2,Balanced
25,27.8,1873.0,66.9,269.4,46.4,21.0,Balanced
64,19.9,2384.0,86.7,364.9,104.7,20.6,High Calorie Intake
52,37.0,1277.0,41.3,153.0,27.3,10.3,Low Nutrition Intake
31,30.5,2022.0,72.6,271.5,52.5,26.9,Balanced
34,24.1,1566.0,39.4,161.8,41.0,13.2,Low Nutrition Intake
53,41.0,2207.0,100.0,262.7,56.1,19.7,Balanced
57,29.2,2660.0,48.6,426.6,60.3,18.4,High Calorie Intake
21,39.9,1924.0,70.8,224.1,85.2,25.1,Balanced
19,33.7,3219.0,92.8,388.2,81.1,14.9,High Calorie Intake
23,22.0,1957.0,71.0,256.2,63.1,27.5,Balanced
59,28.9,2295.0,76.1,276.1,57.3,32.9,Balanced
21,33.3,1314.0,59.4,138.3,35.4,12.7,Low Nutrition Intake
46,18.6,2223.0,90.1,210.0,49.5,16.6,Balanced
35,28.9,2493.0,82.2,216.6,58.8,32.1,Balanced
43,37.1,1383.0,41.0,162.7,27.7,18.7,Low Nutrition Intake
61,24.0,2585.0,64.2,316.2,58.2,28.2,Balanced
51,38.1,2517.0,76.0,246.9,76.2,18.3,Balanced
27,17.7,3340.0,74.3,351.1,92.9,9.1,High Calorie Intake
53,22.1,2011.0,74.3,217.5,64.4,27.8,Balanced
31,18.3,2877.0,82.6,339.6,125.1,16.6,High Calorie Intake
48,35.6,1821.0,74.0,173.5,34.9,13.0,Low Nutrition Intake
32,28.5,1593.0,60.9,167.2,44.6,13.5,Low Nutrition Intake
25,19.3,2311.0,99.1,250.4,41.6,29.5,Balanced
31,27.3,1933.0,76.0,291.5,69.2,24.4,Balanced
40,23.2,1312.0,15.0,214.4,37.0,20.1,Low Nutrition Intake
57,15.3,3085.0,63.3,433.3,128.0,14.9,High Calorie Intake
38,40.5,3356.0,63.1,388.0,116.4,19.9,High Calorie Intake
33,27.3,2312.0,73.3,303.7,63.3,21.6,Balanced
62,26.2,1317.0,68.3,164.0,55.5,9.5,Low Nutrition Intake
35,29.9,3116.0,76.8,461.1,91.9,11.3,High Calorie Intake
64,21.2,2120.0,101.3,224.6,28.8,25.4,Balanced
41,37.3,3273.0,55.8,422.4,84.3,15.3,High Calorie Intake
43,37.4,3206.0,53.0,389.1,129.3,18.4,High Calorie Intake
42,32.2,2705.0,96.3,412.9,67.8,20.3,High Calorie Intake
62,18.6,2001.0,80.8,300.3,57.3,15.1,Balanced
58,31.8,1811.0,59.0,186.9,50.2,12.5,Low Nutrition Intake
46,27.5,2175.0,76.0,246.8,70.0,17.8,Balanced
32,22.6,2085.0,82.4,333.5,48.7,28.1,Balanced
62,13.6,3164.0,42.0,400.5,122.6,18.9,High Calorie Intake
18,21.9,1430.0,49.0,195.9,19.7,14.8,Low Nutrition Intake
42,26.2,1362.0,36.5,277.0,55.0,9.4,Low Nutrition Intake
24,35.8,3068.0,95.3,305.2,106.5,16.6,High Calorie Intake
26,38.0,2517.0,78.1,435.8,135.2,14.8,High Calorie Intake
41,21.9,3801.0,39.1,397.8,76.8,16.5,High Calorie Intake
18,25.5,2773.0,80.1,373.7,88.5,12.2,High Calorie Intake
61,23.5,2652.0,84.2,191.9,72.7,23.8,Balanced
25,32.2,2151.0,89.5,307.3,53.0,24.8,Balanced
41,36.3,2764.0,81.5,368.4,105.6,14.6,High Calorie Intake
28,26.1,2122.0,101.9,355.6,70.3,24.4,Balanced
34,28.3,1735.0,67.4,254.9,55.0,21.3,Balanced
25,19.0,1828.0,45.3,194.1,31.9,18.7,Low Nutrition Intake
52,29.3,2095.0,70.7,196.8,64.1,21.7,Balanced
52,41.7,3523.0,101.5,318.2,82.6,14.6,High Calorie Intake
50,30.0,1254.0,47.6,178.6,43.4,18.1,Low Nutrition Intake
22,19.2,1195.0,56.9,164.5,65.8,20.5,Low Nutrition Intake
59,21.8,2121.0,64.5,213.8,77.2,24.8,Balanced
56,31.3,1672.0,71.5,163.0,25.2,14.8,Low Nutrition Intake
58,21.5,1725.0,33.7,191.2,56.4,7.5,Low Nutrition Intake
45,17.8,2211.0,70.4,265.0,74.9,26.3,Balanced
24,35.6,2607.0,64.0,451.3,111.6,20.2,High Calorie Intake
26,27.2,2215.0,89.3,244.2,54.3,29.6,Balanced
25,18.4,1721.0,34.0,169.8,38.0,20.5,Low Nutrition Intake
29,21.7,1585.0,29.1,186.7,37.0,9.3,Low Nutrition Intake
51,18.4,2123.0,73.9,245.5,59.3,33.8,Balanced
50,28.6,2055.0,78.7,257.6,57.9,25.5,Balanced
40,29.3,2972.0,73.3,337.0,100.9,19.8,High Calorie Intake
41,27.9,2103.0,80.3,266.7,70.8,28.4,Balanced
54,35.8,2891.0,57.4,319.1,125.4,19.9,High Calorie Intake
52,27.1,1606.0,54.7,184.3,32.5,10.1,Low Nutrition Intake
61,25.9,1867.0,95.0,240.3,79.8,23.9,Balanced
57,34.8,1288.0,31.9,169.4,57.0,9.7,Low Nutrition Intake
39,28.1,3670.0,58.6,417.5,102.1,14.4,High Calorie Intake
44,38.5,1819.0,76.6,213.7,41.5,25.7,Balanced
52,26.0,1985.0,101.6,300.0,88.8,20.9,Balanced
18,20.1,1483.0,15.0,180.1,41.2,14.6,Low Nutrition Intake
52,28.7,1440.0,45.8,95.0,43.1,15.9,Low Nutrition Intake
54,22.6,2498.0,83.2,254.8,80.5,10.9,Balanced
64,27.6,1326.0,35.8,188.8,15.0,19.3,Low Nutrition Intake
31,14.0,2085.0,82.5,268.9,82.7,13.8,Balanced
20,17.3,1477.0,58.8,186.6,28.6,11.6,Low Nutrition Intake
18,38.3,2048.0,67.9,253.9,86.1,21.4,Balanced
22,25.6,2784.0,79.4,371.3,78.4,15.7,High Calorie Intake
43,37.0,2916.0,87.6,331.4,124.6,15.5,High Calorie Intake
31,20.4,2573.0,51.1,476.7,101.8,20.7,High Calorie Intake
56,36.1,1040.0,76.7,221.3,36.9,12.8,Low Nutrition Intake
44,30.0,1626.0,53.1,196.4,40.1,16.2,Low Nutrition Intake
26,25.1,1697.0,72.8,194.1,73.5,20.9,Balanced
32,23.7,1741.0,66.9,266.0,62.1,18.0,Balanced
32,17.7,1707.0,79.0,236.8,61.4,24.0,Balanced
43,19.7,1553.0,55.2,195.1,36.2,14.1,Low Nutrition Intake
59,27.0,1369.0,25.3,228.2,50.8,22.0,Low Nutrition Intake
30,26.2,1997.0,30.9,178.3,70.1,13.8,Low Nutrition Intake
49,35.1,3033.0,47.7,387.5,143.6,22.4,High Calorie Intake
56,30.9,1304.0,40.2,150.4,29.8,6.4,Low Nutrition Intake
49,32.5,2128.0,99.1,274.2,84.1,31.4,Balanced
21,36.1,1319.0,35.9,164.8,19.4,14.1,Low Nutrition Intake
47,25.4,1395.0,86.3,262.9,71.6,31.3,Balanced
54,18.3,2202.0,100.8,284.9,54.4,23.6,Balanced
40,31.5,2181.0,57.6,361.0,115.9,12.2,High Calorie Intake
56,32.9,2526.0,41.8,350.2,144.0,17.4,High Calorie Intake
62,26.1,2394.0,65.4,197.1,47.9,24.4,Balanced
32,19.1,2272.0,55.9,350.7,78.6,5.4,High Calorie Intake
60,30.4,3048.0,72.7,419.0,82.8,19.8,High Calorie Intake
46,20.8,3470.0,76.2,349.5,107.9,12.7,High Calorie Intake
53,40.1,2670.0,82.9,373.0,129.1,13.8,High Calorie Intake
30,22.0,1368.0,38.2,150.8,49.8,22.7,Low Nutrition Intake
49,24.1,2051.0,68.5,230.2,55.5,34.9,Balanced
24,41.8,1278.0,38.0,146.6,43.5,13.7,Low Nutrition Intake
39,17.5,1177.0,34.3,243.7,40.4,14.4,Low Nutrition Intake
45,20.6,2986.0,94.3,327.7,97.1,15.2,High Calorie Intake
19,14.8,1702.0,65.2,301.9,75.6,30.6,Balanced
59,26.9,2750.0,64.5,290.6,123.6,21.5,High Calorie Intake
62,32.2,3319.0,97.7,401.1,136.1,15.0,High Calorie Intake
23,19.6,2349.0,85.8,289.8,108.4,20.8,High Calorie Intake
45,28.5,3060.0,108.5,281.7,103.3,16.1,High Calorie Intake
45,24.4,1127.0,31.2,160.4,26.8,13.6,Low Nutrition Intake
61,34.7,1305.0,48.8,212.7,47.0,12.4,Low Nutrition Intake
61,35.8,2224.0,92.5,277.8,91.0,30.9,Balanced
37,26.0,1862.0,15.1,193.4,36.1,13.5,Low Nutrition Intake
47,13.1,1257.0,49.8,126.7,44.8,10.9,Low Nutrition Intake
28,44.7,2020.0,84.1,263.2,79.8,19.2,Balanced
45,27.9,2923.0,86.2,398.1,113.5,21.5,High Calorie Intake
42,18.1,2044.0,69.4,283.0,62.9,31.7,Balanced
56,38.3,2246.0,69.3,273.5,52.4,30.7,Balanced
50,20.7,1787.0,95.1,272.8,62.7,29.6,Balanced
18,28.0,1573.0,61.0,236.2,44.2,10.5,Low Nutrition Intake
44,22.6,1320.0,44.1,227.9,34.5,12.5,Low Nutrition Intake
30,27.6,3578.0,70.3,348.3,120.5,15.7,High Calorie Intake
58,29.5,1789.0,92.6,230.1,65.6,24.6,Balanced
20,14.5,3028.0,36.9,363.2,127.5,22.3,High Calorie Intake
56,16.7,1212.0,56.0,163.3,35.5,12.7,Low Nutrition Intake
23,13.0,2987.0,88.0,393.2,102.5,20.8,High Calorie Intake
25,25.6,1941.0,76.9,299.8,72.4,22.2,Balanced
44,18.5,1757.0,82.4,196.9,62.0,32.1,Balanced
26,24.0,2305.0,49.7,268.0,60.5,17.4,Balanced
54,23.7,3064.0,64.1,355.7,107.5,12.9,High Calorie Intake
50,18.8,2175.0,69.7,238.5,78.9,31.6,Balanced
59,39.0,1706.0,88.5,315.9,86.8,28.1,Balanced
61,15.8,2590.0,82.1,336.5,98.1,17.9,High Calorie Intake
41,39.1,2676.0,53.7,403.3,142.3,22.2,High Calorie Intake
32,40.1,2334.0,91.7,285.5,71.3,30.4,Balanced
49,36.3,2485.0,75.2,376.0,106.6,13.7,High Calorie Intake
49,25.5,2285.0,66.5,238.6,55.8,30.2,Balanced
41,36.8,1447.0,39.5,176.9,40.0,20.5,Low Nutrition Intake
58,17.5,1829.0,87.5,278.9,52.6,33.8,Balanced
29,21.4,3133.0,63.9,287.0,109.6,15.8,High Calorie Intake
56,22.5,2600.0,55.3,423.4,65.9,17.6,High Calorie Intake
19,31.5,2101.0,85.0,248.2,69.1,20.5,Balanced
20,14.3,2137.0,84.8,266.0,70.3,19.4,Balanced
54,30.2,1308.0,38.1,180.3,56.3,12.6,Low Nutrition Intake
34,34.2,2561.0,80.7,447.3,79.8,25.9,High Calorie Intake
19,28.0,3091.0,88.5,453.4,124.5,15.4,High Calorie Intake
19,25.0,2467.0,81.6,303.6,81.8,18.5,Balanced
45,19.2,3220.0,69.1,386.9,107.5,16.4,High Calorie Intake
40,41.6,3468.0,50.1,293.9,66.3,21.3,High Calorie Intake
54,23.7,1949.0,79.9,255.4,52.6,30.1,Balanced
49,22.8,1419.0,42.1,198.2,48.6,10.2,Low Nutrition Intake
50,14.8,2377.0,98.3,203.0,68.9,23.2,Balanced
18,34.0,2332.0,61.0,325.2,42.5,23.5,Balanced
36,24.2,2263.0,68.4,226.3,68.1,25.5,Balanced
19,28.6,2152.0,90.0,244.2,69.5,22.0,Balanced
61,27.1,2661.0,67.4,355.1,96.0,21.8,High Calorie Intake
43,29.5,1389.0,37.0,191.0,41.3,9.3,Low Nutrition Intake
49,23.3,2072.0,73.3,253.1,75.2,25.8,Balanced
23,25.7,2469.0,77.8,331.0,58.5,20.4,Balanced
49,22.4,2292.0,97.1,204.8,62.2,21.3,Balanced
21,23.2,2187.0,78.1,313.8,63.5,33.2,Balanced
28,26.7,1374.0,56.1,198.0,60.8,8.1,Low Nutrition Intake
34,22.6,1171.0,67.0,164.3,32.0,10.5,Low Nutrition Intake
55,30.2,2449.0,60.5,260.9,61.3,31.2,Balanced
41,25.8,2003.0,83.8,213.2,96.8,23.6,Balanced
22,29.2,1452.0,64.9,169.5,60.0,12.4,Low Nutrition Intake
51,25.7,3178.0,62.8,312.2,113.3,19.2,High Calorie Intake
23,31.6,1808.0,73.7,308.0,73.4,22.6,Balanced
39,36.6,1995.0,105.3,202.1,64.2,16.2,Balanced
28,22.0,3397.0,71.9,388.9,160.4,13.0,High Calorie Intake
33,29.0,1870.0,40.3,181.8,71.7,13.4,Low Nutrition Intake
50,19.6,1120.0,48.4,184.0,44.4,13.5,Low Nutrition Intake
26,26.8,3703.0,80.9,326.3,107.5,12.0,High Calorie Intake
23,32.3,2086.0,65.3,344.3,55.3,29.1,Balanced
33,37.0,2066.0,61.8,267.9,70.6,28.4,Balanced
46,28.4,2058.0,52.2,427.9,86.5,17.0,High Calorie Intake
20,29.0,2522.0,83.7,426.6,119.6,21.2,High Calorie Intake
37,32.8,3482.0,53.2,340.6,123.0,21.7,High Calorie Intake
53,24.0,1975.0,67.6,233.9,42.5,17.4,Balanced
36,33.0,1826.0,73.9,270.8,71.1,21.9,Balanced
43,13.9,2024.0,79.7,200.2,78.4,32.7,Balanced
20,18.3,1300.0,40.2,233.5,38.5,16.4,Low Nutrition Intake
36,28.3,2126.0,99.8,279.6,72.7,28.4,Balanced
37,26.4,1317.0,39.4,216.9,41.5,9.3,Low Nutrition Intake
49,13.9,3587.0,87.6,381.9,99.5,17.0,High Calorie Intake
24,15.1,2285.0,49.5,344.5,53.9,25.0,Balanced
58,21.6,2159.0,106.0,256.5,87.2,27.4,Balanced
50,33.9,1900.0,79.9,255.3,49.8,27.1,Balanced
57,26.4,1455.0,51.7,196.8,32.2,17.1,Low Nutrition Intake
56,20.6,1300.0,15.0,194.5,33.4,15.5,Low Nutrition Intake
35,22.4,2670.0,106.4,253.4,53.4,28.5,Balanced
57,23.2,1361.0,49.7,166.9,43.0,10.8,Low Nutrition Intake
18,20.0,2458.0,69.7,286.4,47.3,29.7,Balanced
28,18.9,2621.0,76.2,431.2,101.0,10.9,High Calorie Intake
45,26.1,3119.0,58.5,359.8,110.3,22.8,High Calorie Intake
42,17.9,2157.0,78.3,289.5,65.7,28.8,Balanced
40,18.4,1709.0,41.1,80.0,30.2,18.8,Low Nutrition Intake
48,23.1,2939.0,66.6,438.3,103.0,5.5,High Calorie Intake
47,19.0,2438.0,78.7,376.7,134.1,12.3,High Calorie Intake
59,15.7,1376.0,34.4,171.8,17.3,12.5,Low Nutrition Intake
52,24.3,2932.0,69.8,487.5,141.7,12.2,High Calorie Intake
24,40.2,959.0,43.8,203.2,29.7,10.8,Low Nutrition Intake
33,22.3,3488.0,67.9,413.1,86.4,15.7,High Calorie Intake
43,22.1,2836.0,61.2,437.8,77.2,17.5,High Calorie Intake
19,17.9,1365.0,50.0,178.0,50.4,10.2,Low Nutrition Intake
18,28.0,3344.0,71.5,313.6,118.6,15.0,High Calorie Intake
29,27.9,1706.0,82.7,300.3,82.9,22.7,Balanced
22,18.3,2999.0,72.8,454.5,88.8,13.7,High Calorie Intake
54,25.2,1933.0,57.7,269.9,87.4,23.8,Balanced
49,16.4,2650.0,75.0,409.5,101.9,23.0,High Calorie Intake
26,26.9,1255.0,41.6,200.4,44.7,14.2,Low Nutrition Intake
58,22.6,1818.0,110.7,250.6,66.5,28.7,Balanced
52,38.6,1297.0,45.7,166.3,45.0,12.9,Low Nutrition Intake
36,29.5,3041.0,55.3,338.6,77.7,12.4,High Calorie Intake
33,29.6,2075.0,67.1,353.3,108.0,16.2,High Calorie Intake
20,34.7,3377.0,113.5,436.9,95.9,13.5,High Calorie Intake
37,17.6,3245.0,45.1,364.2,100.2,18.9,High Calorie Intake
41,26.0,1597.0,36.1,175.5,45.3,10.8,Low Nutrition Intake
50,20.0,2464.0,86.5,266.9,70.5,22.2,Balanced
41,27.3,1300.0,39.9,207.5,42.4,12.3,Low Nutrition Intake
28,28.9,1630.0,42.9,165.7,43.1,9.9,Low Nutrition Intake
25,28.9,1045.0,44.9,167.0,37.0,10.1,Low Nutrition Intake
53,24.8,2464.0,68.7,242.7,70.3,16.7,Balanced
55,23.9,1102.0,49.6,174.4,29.2,16.4,Low Nutrition Intake
57,19.1,1255.0,41.7,158.6,43.6,19.3,Low Nutrition Intake
37,30.4,1003.0,46.4,220.0,34.9,9.5,Low Nutrition Intake
52,34.6,1551.0,57.0,221.2,44.4,14.4,Low Nutrition Intake
42,40.0,2644.0,85.8,420.5,82.2,17.8,High Calorie Intake
52,16.3,3172.0,86.1,376.3,87.8,13.5,High Calorie Intake
42,30.6,2608.0,71.2,367.7,147.9,20.5,High Calorie Intake
46,18.7,2402.0,84.6,245.3,61.1,23.9,Balanced
35,18.9,1495.0,49.7,190.0,36.5,11.6,Low Nutrition Intake
63,16.8,2476.0,92.5,490.3,129.0,9.7,High Calorie Intake
35,34.6,2355.0,92.3,243.9,71.8,22.3,Balanced
19,34.2,1817.0,49.4,157.9,48.0,18.2,Low Nutrition Intake
52,16.5,1498.0,50.8,187.6,26.4,13.4,Low Nutrition Intake
33,29.0,1576.0,43.5,218.0,35.3,12.7,Low Nutrition Intake
58,21.4,1649.0,47.7,175.6,52.4,11.2,Low Nutrition Intake
53,23.3,1961.0,38.4,237.8,83.3,12.6,Balanced
50,18.2,1903.0,84.1,170.2,57.9,31.8,Balanced
21,23.2,1940.0,48.5,157.6,28.5,14.6,Low Nutrition Intake
50,26.9,1517.0,67.3,224.0,41.0,12.7,Low Nutrition Intake
31,18.3,3975.0,82.0,346.6,100.5,11.6,High Calorie Intake
38,15.9,900.0,48.8,252.4,20.4,14.2,Low Nutrition Intake
37,22.2,1966.0,85.3,253.1,46.0,19.1,Balanced
25,39.3,2668.0,93.5,444.7,98.8,22.1,High Calorie Intake
24,24.8,1408.0,41.1,192.0,43.4,11.8,Low Nutrition Intake
20,25.9,1455.0,54.4,194.5,40.5,16.0,Low Nutrition Intake
34,21.5,2323.0,77.1,241.0,67.6,15.4,Balanced
50,23.8,2095.0,43.4,193.0,39.4,31.3,Balanced
29,13.4,2154.0,60.3,279.6,78.8,28.1,Balanced
39,26.2,2886.0,75.7,425.1,95.6,16.1,High Calorie Intake
39,29.6,1388.0,25.6,222.1,64.7,10.5,Low Nutrition Intake
63,25.8,2400.0,66.2,265.3,86.1,21.9,Balanced
47,31.0,2146.0,52.8,233.4,38.3,27.6,Balanced
55,29.0,1650.0,42.3,200.0,36.1,17.0,Low Nutrition Intake
55,16.1,2184.0,50.2,297.6,59.5,17.4,Balanced
62,40.6,1345.0,22.2,146.3,41.7,14.9,Low Nutrition Intake
25,14.3,2230.0,78.0,232.3,64.2,22.4,Balanced
44,22.5,1060.0,35.7,221.1,59.1,16.6,Low Nutrition Intake
44,23.4,2551.0,79.2,329.7,93.8,14.6,Balanced
51,13.6,2208.0,79.2,243.0,71.9,25.2,Balanced
38,29.2,2700.0,71.6,440.2,108.7,19.1,High Calorie Intake
47,23.5,1384.0,50.4,147.7,34.0,13.6,Low Nutrition Intake
50,23.0,1818.0,66.4,272.5,66.8,29.8,Balanced
45,32.5,1994.0,78.8,233.1,74.9,32.1,Balanced
64,14.3,3114.0,89.0,381.6,121.1,16.4,High Calorie Intake
50,15.6,1884.0,81.5,220.2,97.7,23.0,Balanced
22,27.1,2318.0,77.8,210.7,38.4,29.5,Balanced
36,29.1,3477.0,60.2,297.2,98.5,11.3,High Calorie Intake
21,34.0,2729.0,81.8,377.5,88.4,18.9,High Calorie Intake
52,27.6,2323.0,73.3,265.5,72.3,27.6,Balanced
34,26.7,2161.0,98.1,283.3,58.7,22.3,Balanced
61,28.2,2760.0,82.1,348.9,96.5,21.3,High Calorie Intake
45,27.5,3015.0,91.2,419.9,81.5,15.5,High Calorie Intake
47,27.8,3287.0,52.4,401.0,104.2,7.2,High Calorie Intake
46,20.9,2181.0,66.3,213.3,65.1,13.4,Balanced
63,19.3,1288.0,75.6,212.8,29.4,19.6,Low Nutrition Intake
23,38.8,1892.0,70.2,214.0,68.6,33.2,Balanced
52,22.0,2610.0,39.0,434.5,136.1,6.0,High Calorie Intake
58,31.5,2270.0,81.2,228.5,45.5,31.0,Balanced
54,26.5,2197.0,81.6,235.1,53.8,10.3,Balanced
41,36.0,2872.0,95.0,335.5,74.6,18.2,High Calorie Intake
46,32.5,2311.0,69.8,246.0,68.7,24.1,Balanced
63,20.2,3290.0,111.0,294.5,129.6,16.5,High Calorie Intake
48,27.0,2511.0,88.1,262.4,75.6,22.6,Balanced
52,22.7,1949.0,89.4,226.2,74.0,25.2,Balanced
50,21.3,1544.0,70.0,273.4,59.3,9.7,Balanced
38,34.8,3399.0,74.7,402.2,95.5,18.7,High Calorie Intake
49,33.3,1890.0,36.2,248.3,44.8,10.5,Low Nutrition Intake
40,27.1,1981.0,49.7,213.7,36.8,10.8,Low Nutrition Intake
50,28.9,3007.0,97.3,364.5,104.5,23.3,High Calorie Intake
20,18.3,1378.0,51.1,220.7,37.6,15.2,Low Nutrition Intake
35,26.4,2322.0,72.4,292.6,57.3,20.9,Balanced
42,17.5,1753.0,71.0,227.4,59.4,28.7,Balanced
59,42.7,1701.0,50.4,230.0,71.5,26.7,Balanced
48,19.2,1951.0,94.4,233.7,71.5,22.8,Balanced
20,15.2,1241.0,37.7,215.7,44.3,17.9,Low Nutrition Intake
57,13.1,2244.0,55.4,344.6,70.3,28.1,Balanced
63,25.9,2052.0,93.6,216.3,73.5,12.5,Balanced
41,34.5,2326.0,62.9,271.1,84.0,29.9,Balanced
49,20.1,1744.0,58.5,171.7,47.2,7.1,Low Nutrition Intake
64,21.6,1971.0,97.5,244.6,38.8,37.1,Balanced
39,30.6,1585.0,54.2,155.7,43.4,15.0,Low Nutrition Intake
40,24.0,1253.0,43.0,137.5,35.8,17.9,Low Nutrition Intake
19,29.8,1271.0,67.9,139.7,36.9,11.4,Low Nutrition Intake
44,24.9,1407.0,61.5,155.5,34.6,16.6,Low Nutrition Intake
59,21.3,2982.0,74.8,331.7,103.6,21.7,High Calorie Intake
19,20.6,1064.0,36.6,126.5,46.4,18.9,Low Nutrition Intake
43,40.3,2888.0,55.9,331.2,99.1,14.5,High Calorie Intake
34,20.0,3260.0,61.3,401.8,98.9,12.3,High Calorie Intake
57,30.9,2064.0,82.7,296.6,61.5,17.8,Balanced
50,18.9,1690.0,34.2,199.1,39.7,13.4,Low Nutrition Intake
26,30.3,2023.0,86.7,116.7,80.9,19.5,Balanced
60,14.1,3089.0,77.7,443.7,109.0,11.9,High Calorie Intake
56,23.8,1733.0,73.1,181.7,56.2,23.2,Balanced
46,40.8,1284.0,45.5,181.7,36.1,4.3,Low Nutrition Intake
59,29.0,1813.0,87.0,292.2,39.3,20.1,Balanced
43,15.1,3314.0,60.5,374.4,133.8,14.2,High Calorie Intake
52,15.1,2778.0,69.5,472.7,113.9,16.1,High Calorie Intake
42,26.4,1324.0,51.5,213.1,27.1,16.7,Low Nutrition Intake
41,15.4,2111.0,78.3,224.6,59.4,18.8,Balanced
30,19.1,1191.0,49.5,177.6,24.4,22.7,Low Nutrition Intake
24,32.3,1180.0,58.1,138.3,45.5,13.0,Low Nutrition Intake
53,20.6,2736.0,75.1,383.1,88.8,11.7,High Calorie Intake
62,22.4,1072.0,48.7,146.1,40.0,16.4,Low Nutrition Intake
37,32.1,1500.0,36.3,221.8,35.1,8.7,Low Nutrition Intake
18,18.9,1382.0,52.0,166.4,50.5,10.9,Low Nutrition Intake
25,39.5,2734.0,55.3,414.2,103.9,11.1,High Calorie Intake
63,17.8,2815.0,22.9,418.9,101.6,4.0,High Calorie Intake
33,35.5,1771.0,72.1,207.4,76.1,27.5,Balanced
31,23.5,3072.0,30.3,353.7,91.0,11.2,High Calorie Intake
29,37.3,1350.0,31.5,197.5,49.2,16.7,Low Nutrition Intake
40,41.4,2114.0,106.0,305.6,63.6,22.1,Balanced
32,27.2,2498.0,92.1,203.6,80.2,24.1,Balanced
45,33.1,1243.0,21.2,180.6,39.9,20.3,Low Nutrition Intake
51,25.2,2399.0,69.8,275.6,76.6,25.5,Balanced
