Food_ID,Food_Name,Food_Category,Cuisine,Vegetarian,Serving_Size,Calories,Protein,Carbohydrates,Fat,Fiber,Sugar,Meal_Type,Preparation_Type,User_Preference
1059,Whole Wheat Roti (Herb Infused),Grains and Cereals,Indian,1,1 piece (45g),121,3.8,21.8,2.1,3.4,0.5,Dinner,Cooked,Balanced
1060,Whole Wheat Roti (Traditional),Grains and Cereals,Indian,1,1 piece (45g),124,3.7,22.3,2.2,3.1,0.5,Dinner,Cooked,Balanced
1061,Multigrain Roti,Grains and Cereals,Indian,1,1 piece (50g),137,4.6,24.2,2.4,4.2,0.6,Dinner,Cooked,Weight Loss
1062,Multigrain Roti (Light Spiced),Grains and Cereals,Indian,1,1 piece (50g),134,4.5,23.7,2.4,4.2,0.6,Dinner,Cooked,Weight Loss
1063,Multigrain Roti (Homestyle),Grains and Cereals,Indian,1,1 piece (50g),130,4.6,23.1,2.1,4.3,0.6,Dinner,Cooked,Weight Loss
1064,Multigrain Roti (Low Sodium),Grains and Cereals,Indian,1,1 piece (50g),133,4.5,23.5,2.3,4.1,0.6,Dinner,Cooked,Weight Loss
1065,Multigrain Roti (Extra Portion),Grains and Cereals,Indian,1,1 piece (50g),169,5.7,30.0,2.9,5.2,0.8,Dinner,Cooked,Weight Loss
1066,Multigrain Roti (Half Portion),Grains and Cereals,Indian,1,1 piece (50g),74,2.5,13.1,1.3,2.3,0.3,Dinner,Cooked,Weight Loss
1067,Multigrain Roti (With Olive Oil),Grains and Cereals,Indian,1,1 piece (50g),138,4.5,23.1,3.1,4.2,0.6,Dinner,Cooked,Weight Loss
1068,Multigrain Roti (Steamed),Grains and Cereals,Indian,1,1 piece (50g),122,4.6,21.7,1.9,4.4,0.5,Dinner,Cooked,Weight Loss
1069,Multigrain Roti (Nutrient Dense),Grains and Cereals,Indian,1,1 piece (50g),141,5.3,24.4,2.5,4.9,0.6,Dinner,Cooked,Weight Loss
1070,Multigrain Roti (Mild Flavor),Grains and Cereals,Indian,1,1 piece (50g),130,4.4,23.2,2.2,4.0,0.6,Dinner,Cooked,Weight Loss
1071,Multigrain Roti (Herb Infused),Grains and Cereals,Indian,1,1 piece (50g),132,4.6,23.3,2.3,4.4,0.6,Dinner,Cooked,Weight Loss
1072,Multigrain Roti (Traditional),Grains and Cereals,Indian,1,1 piece (50g),139,4.5,24.6,2.5,4.1,0.6,Dinner,Cooked,Weight Loss
1073,Quinoa (cooked),Grains and Cereals,Global,1,1 cup (185g),228,8.3,40.3,3.7,5.3,1.6,Lunch,Boiled,Muscle Gain
1074,Quinoa (cooked) (Light Spiced),Grains and Cereals,Global,1,1 cup (185g),221,8.0,39.0,3.7,5.2,1.6,Lunch,Boiled,Muscle Gain
1075,Quinoa (cooked) (Homestyle),Grains and Cereals,Global,1,1 cup (185g),219,8.3,39.0,3.3,5.5,1.5,Lunch,Boiled,Muscle Gain
1076,Quinoa (cooked) (Low Sodium),Grains and Cereals,Global,1,1 cup (185g),219,8.0,38.8,3.5,5.2,1.6,Lunch,Boiled,Muscle Gain
1077,Quinoa (cooked) (Extra Portion),Grains and Cereals,Global,1,1 cup (185g),285,10.4,50.5,4.6,6.7,2.0,Lunch,Boiled,Muscle Gain
1078,Quinoa (cooked) (Half Portion),Grains and Cereals,Global,1,1 cup (185g),122,4.4,21.6,2.0,2.9,0.9,Lunch,Boiled,Muscle Gain
1079,Quinoa (cooked) (With Olive Oil),Grains and Cereals,Global,1,1 cup (185g),231,8.1,38.8,4.8,5.4,1.6,Lunch,Boiled,Muscle Gain
1080,Quinoa (cooked) (Steamed),Grains and Cereals,Global,1,1 cup (185g),208,8.4,36.9,3.0,5.6,1.4,Lunch,Boiled,Muscle Gain
1081,Quinoa (cooked) (Nutrient Dense),Grains and Cereals,Global,1,1 cup (185g),240,9.6,41.5,3.9,6.3,1.6,Lunch,Boiled,Muscle Gain
1082,Quinoa (cooked) (Mild Flavor),Grains and Cereals,Global,1,1 cup (185g),217,7.9,38.8,3.4,5.1,1.5,Lunch,Boiled,Muscle Gain
1083,Quinoa (cooked) (Herb Infused),Grains and Cereals,Global,1,1 cup (185g),227,8.4,40.0,3.7,5.6,1.6,Lunch,Boiled,Muscle Gain
1084,Quinoa (cooked) (Traditional),Grains and Cereals,Global,1,1 cup (185g),231,8.1,41.1,3.8,5.2,1.7,Lunch,Boiled,Muscle Gain
1085,Millet Porridge (Ragi),Grains and Cereals,Indian,1,1 cup (220g),154,4.2,30.8,1.5,4.8,0.8,Breakfast,Boiled,Diabetes-Friendly
1086,Millet Porridge (Ragi) (Light Spiced),Grains and Cereals,Indian,1,1 cup (220g),152,4.1,30.5,1.5,4.8,0.8,Breakfast,Boiled,Diabetes-Friendly
1087,Millet Porridge (Ragi) (Homestyle),Grains and Cereals,Indian,1,1 cup (220g),155,4.4,31.3,1.4,5.2,0.8,Breakfast,Boiled,Diabetes-Friendly
1088,Millet Porridge (Ragi) (Low Sodium),Grains and Cereals,Indian,1,1 cup (220g),153,4.2,30.7,1.5,4.8,0.8,Breakfast,Boiled,Diabetes-Friendly
1089,Millet Porridge (Ragi) (Extra Portion),Grains and Cereals,Indian,1,1 cup (220g),188,5.1,37.8,1.8,5.9,1.0,Breakfast,Boiled,Diabetes-Friendly
1090,Millet Porridge (Ragi) (Half Portion),Grains and Cereals,Indian,1,1 cup (220g),82,2.2,16.6,0.8,2.6,0.4,Breakfast,Boiled,Diabetes-Friendly
1091,Millet Porridge (Ragi) (With Olive Oil),Grains and Cereals,Indian,1,1 cup (220g),156,4.2,30.3,2.0,4.9,0.8,Breakfast,Boiled,Diabetes-Friendly
1092,Millet Porridge (Ragi) (Steamed),Grains and Cereals,Indian,1,1 cup (220g),148,4.4,29.7,1.3,5.3,0.7,Breakfast,Boiled,Diabetes-Friendly
1093,Millet Porridge (Ragi) (Nutrient Dense),Grains and Cereals,Indian,1,1 cup (220g),167,5.0,33.1,1.6,5.9,0.8,Breakfast,Boiled,Diabetes-Friendly
1094,Millet Porridge (Ragi) (Mild Flavor),Grains and Cereals,Indian,1,1 cup (220g),153,4.1,30.9,1.4,4.8,0.8,Breakfast,Boiled,Diabetes-Friendly
1095,Millet Porridge (Ragi) (Herb Infused),Grains and Cereals,Indian,1,1 cup (220g),152,4.2,30.5,1.5,5.0,0.8,Breakfast,Boiled,Diabetes-Friendly
1096,Millet Porridge (Ragi) (Traditional),Grains and Cereals,Indian,1,1 cup (220g),156,4.1,31.4,1.5,4.6,0.8,Breakfast,Boiled,Diabetes-Friendly
1097,Vegetable Poha,Grains and Cereals,Indian,1,1 plate (180g),238,4.7,39.1,7.0,3.6,2.3,Breakfast,Cooked,Balanced
1098,Vegetable Poha (Light Spiced),Grains and Cereals,Indian,1,1 plate (180g),236,4.6,38.1,7.2,3.6,2.2,Breakfast,Cooked,Balanced
1099,Vegetable Poha (Homestyle),Grains and Cereals,Indian,1,1 plate (180g),230,4.8,38.3,6.4,3.8,2.1,Breakfast,Cooked,Balanced
1100,Vegetable Poha (Low Sodium),Grains and Cereals,Indian,1,1 plate (180g),234,4.7,38.4,6.8,3.6,2.2,Breakfast,Cooked,Balanced
1101,Vegetable Poha (Extra Portion),Grains and Cereals,Indian,1,1 plate (180g),282,5.6,46.1,8.3,4.2,2.7,Breakfast,Cooked,Balanced
1102,Vegetable Poha (Half Portion),Grains and Cereals,Indian,1,1 plate (180g),129,2.6,21.2,3.8,2.0,1.2,Breakfast,Cooked,Balanced
1103,Vegetable Poha (With Olive Oil),Grains and Cereals,Indian,1,1 plate (180g),256,4.7,38.4,9.3,3.7,2.2,Breakfast,Cooked,Balanced
1104,Vegetable Poha (Steamed),Grains and Cereals,Indian,1,1 plate (180g),216,4.8,36.2,5.8,3.9,2.0,Breakfast,Cooked,Balanced
1105,Vegetable Poha (Nutrient Dense),Grains and Cereals,Indian,1,1 plate (180g),244,5.4,39.3,7.2,4.1,2.2,Breakfast,Cooked,Balanced
1106,Vegetable Poha (Mild Flavor),Grains and Cereals,Indian,1,1 plate (180g),230,4.6,38.3,6.5,3.5,2.2,Breakfast,Cooked,Balanced
1107,Vegetable Poha (Herb Infused),Grains and Cereals,Indian,1,1 plate (180g),230,4.6,37.5,6.8,3.7,2.2,Breakfast,Cooked,Balanced
1108,Vegetable Poha (Traditional),Grains and Cereals,Indian,1,1 plate (180g),235,4.5,38.6,7.0,3.4,2.3,Breakfast,Cooked,Balanced
1109,Vegetable Upma,Grains and Cereals,Indian,1,1 plate (180g),222,5.1,36.4,6.2,3.2,1.8,Breakfast,Cooked,Balanced
1110,Vegetable Upma (Light Spiced),Grains and Cereals,Indian,1,1 plate (180g),231,5.2,37.5,6.7,3.4,1.8,Breakfast,Cooked,Balanced
1111,Vegetable Upma (Homestyle),Grains and Cereals,Indian,1,1 plate (180g),220,5.3,36.6,5.8,3.4,1.7,Breakfast,Cooked,Balanced
1112,Vegetable Upma (Low Sodium),Grains and Cereals,Indian,1,1 plate (180g),216,5.0,35.6,6.0,3.2,1.7,Breakfast,Cooked,Balanced
1113,Vegetable Upma (Extra Portion),Grains and Cereals,Indian,1,1 plate (180g),278,6.4,45.6,7.8,4.0,2.3,Breakfast,Cooked,Balanced
1114,Vegetable Upma (Half Portion),Grains and Cereals,Indian,1,1 plate (180g),120,2.8,19.7,3.3,1.7,1.0,Breakfast,Cooked,Balanced
1115,Vegetable Upma (With Olive Oil),Grains and Cereals,Indian,1,1 plate (180g),248,5.3,37.4,8.6,3.4,1.8,Breakfast,Cooked,Balanced
1116,Vegetable Upma (Steamed),Grains and Cereals,Indian,1,1 plate (180g),212,5.5,35.4,5.4,3.6,1.7,Breakfast,Cooked,Balanced
1117,Vegetable Upma (Nutrient Dense),Grains and Cereals,Indian,1,1 plate (180g),235,5.9,37.9,6.6,3.8,1.8,Breakfast,Cooked,Balanced
1118,Vegetable Upma (Mild Flavor),Grains and Cereals,Indian,1,1 plate (180g),221,5.1,36.8,5.9,3.2,1.8,Breakfast,Cooked,Balanced
1119,Vegetable Upma (Herb Infused),Grains and Cereals,Indian,1,1 plate (180g),227,5.3,37.1,6.4,3.5,1.8,Breakfast,Cooked,Balanced
1120,Vegetable Upma (Traditional),Grains and Cereals,Indian,1,1 plate (180g),222,4.9,36.5,6.3,3.0,1.8,Breakfast,Cooked,Balanced
1121,Steamed Idli (2 pcs),Grains and Cereals,Indian,1,2 pieces (120g),140,4.9,28.4,0.8,2.2,0.4,Breakfast,Steamed,Balanced
1122,Steamed Idli (2 pcs) (Light Spiced),Grains and Cereals,Indian,1,2 pieces (120g),139,4.8,28.1,0.8,2.2,0.4,Breakfast,Steamed,Balanced
1123,Steamed Idli (2 pcs) (Homestyle),Grains and Cereals,Indian,1,2 pieces (120g),138,5.0,27.9,0.7,2.3,0.4,Breakfast,Steamed,Balanced
1124,Steamed Idli (2 pcs) (Low Sodium),Grains and Cereals,Indian,1,2 pieces (120g),138,4.8,27.8,0.8,2.2,0.4,Breakfast,Steamed,Balanced
1125,Steamed Idli (2 pcs) (Extra Portion),Grains and Cereals,Indian,1,2 pieces (120g),168,5.8,34.0,1.0,2.7,0.5,Breakfast,Steamed,Balanced
1126,Steamed Idli (2 pcs) (Half Portion),Grains and Cereals,Indian,1,2 pieces (120g),75,2.6,15.2,0.4,1.2,0.2,Breakfast,Steamed,Balanced
1127,Steamed Idli (2 pcs) (With Olive Oil),Grains and Cereals,Indian,1,2 pieces (120g),137,4.8,27.2,1.0,2.2,0.4,Breakfast,Steamed,Balanced
1128,Steamed Idli (2 pcs) (Steamed),Grains and Cereals,Indian,1,2 pieces (120g),136,5.2,27.3,0.7,2.5,0.4,Breakfast,Steamed,Balanced
1129,Steamed Idli (2 pcs) (Nutrient Dense),Grains and Cereals,Indian,1,2 pieces (120g),152,5.8,30.1,0.9,2.7,0.4,Breakfast,Steamed,Balanced
1130,Steamed Idli (2 pcs) (Mild Flavor),Grains and Cereals,Indian,1,2 pieces (120g),141,4.8,28.6,0.8,2.2,0.4,Breakfast,Steamed,Balanced
1131,Steamed Idli (2 pcs) (Herb Infused),Grains and Cereals,Indian,1,2 pieces (120g),139,4.9,28.0,0.8,2.3,0.4,Breakfast,Steamed,Balanced
1132,Steamed Idli (2 pcs) (Traditional),Grains and Cereals,Indian,1,2 pieces (120g),137,4.6,27.8,0.8,2.1,0.4,Breakfast,Steamed,Balanced
1133,Plain Dosa,Grains and Cereals,Indian,1,1 medium (90g),174,4.0,29.7,4.3,1.8,0.5,Breakfast,Cooked,Energy Booster
1134,Plain Dosa (Light Spiced),Grains and Cereals,Indian,1,1 medium (90g),176,4.0,29.8,4.5,1.9,0.5,Breakfast,Cooked,Energy Booster
1135,Plain Dosa (Homestyle),Grains and Cereals,Indian,1,1 medium (90g),161,3.9,27.7,3.8,1.8,0.5,Breakfast,Cooked,Energy Booster
1136,Plain Dosa (Low Sodium),Grains and Cereals,Indian,1,1 medium (90g),167,3.9,28.7,4.1,1.8,0.5,Breakfast,Cooked,Energy Booster
1137,Plain Dosa (Extra Portion),Grains and Cereals,Indian,1,1 medium (90g),206,4.7,35.3,5.1,2.2,0.6,Breakfast,Cooked,Energy Booster
1138,Plain Dosa (Half Portion),Grains and Cereals,Indian,1,1 medium (90g),94,2.2,16.2,2.3,1.0,0.3,Breakfast,Cooked,Energy Booster
1139,Plain Dosa (With Olive Oil),Grains and Cereals,Indian,1,1 medium (90g),186,4.0,29.5,5.8,1.9,0.5,Breakfast,Cooked,Energy Booster
1140,Plain Dosa (Steamed),Grains and Cereals,Indian,1,1 medium (90g),155,4.0,26.9,3.5,1.9,0.4,Breakfast,Cooked,Energy Booster
1141,Plain Dosa (Nutrient Dense),Grains and Cereals,Indian,1,1 medium (90g),180,4.6,30.4,4.5,2.2,0.5,Breakfast,Cooked,Energy Booster
1142,Plain Dosa (Mild Flavor),Grains and Cereals,Indian,1,1 medium (90g),168,3.9,29.1,4.0,1.8,0.5,Breakfast,Cooked,Energy Booster
1143,Plain Dosa (Herb Infused),Grains and Cereals,Indian,1,1 medium (90g),169,4.0,28.9,4.2,1.9,0.5,Breakfast,Cooked,Energy Booster
1144,Plain Dosa (Traditional),Grains and Cereals,Indian,1,1 medium (90g),177,3.9,30.2,4.5,1.8,0.5,Breakfast,Cooked,Energy Booster
1145,Multigrain Bread Slice,Grains and Cereals,Global,1,1 slice (40g),94,4.2,15.9,1.5,2.8,1.5,Breakfast,Baked,Balanced
1146,Multigrain Bread Slice (Light Spiced),Grains and Cereals,Global,1,1 slice (40g),93,4.1,15.7,1.5,2.8,1.5,Breakfast,Baked,Balanced
1147,Multigrain Bread Slice (Homestyle),Grains and Cereals,Global,1,1 slice (40g),93,4.3,15.7,1.4,2.9,1.4,Breakfast,Baked,Balanced
1148,Multigrain Bread Slice (Low Sodium),Grains and Cereals,Global,1,1 slice (40g),95,4.3,16.1,1.5,2.8,1.5,Breakfast,Baked,Balanced
1149,Multigrain Bread Slice (Extra Portion),Grains and Cereals,Global,1,1 slice (40g),115,5.2,19.6,1.8,3.4,1.8,Breakfast,Baked,Balanced
1150,Multigrain Bread Slice (Half Portion),Grains and Cereals,Global,1,1 slice (40g),51,2.3,8.7,0.8,1.5,0.8,Breakfast,Baked,Balanced
1151,Multigrain Bread Slice (With Olive Oil),Grains and Cereals,Global,1,1 slice (40g),102,4.4,16.5,2.1,3.0,1.5,Breakfast,Baked,Balanced
1152,Multigrain Bread Slice (Steamed),Grains and Cereals,Global,1,1 slice (40g),91,4.4,15.3,1.3,3.1,1.4,Breakfast,Baked,Balanced
1153,Multigrain Bread Slice (Nutrient Dense),Grains and Cereals,Global,1,1 slice (40g),101,4.9,16.7,1.6,3.3,1.5,Breakfast,Baked,Balanced
1154,Multigrain Bread Slice (Mild Flavor),Grains and Cereals,Global,1,1 slice (40g),93,4.2,16.0,1.4,2.8,1.5,Breakfast,Baked,Balanced
1155,Multigrain Bread Slice (Herb Infused),Grains and Cereals,Global,1,1 slice (40g),94,4.2,15.8,1.5,3.0,1.5,Breakfast,Baked,Balanced
1156,Multigrain Bread Slice (Traditional),Grains and Cereals,Global,1,1 slice (40g),94,4.0,16.1,1.5,2.7,1.5,Breakfast,Baked,Balanced
1157,Whole Wheat Pasta,Grains and Cereals,Italian,1,1 cup (140g),183,7.4,36.6,0.8,6.2,1.2,Dinner,Boiled,Muscle Gain
1158,Whole Wheat Pasta (Light Spiced),Grains and Cereals,Italian,1,1 cup (140g),186,7.5,37.2,0.8,6.5,1.2,Dinner,Boiled,Muscle Gain
1159,Whole Wheat Pasta (Homestyle),Grains and Cereals,Italian,1,1 cup (140g),179,7.5,35.7,0.7,6.5,1.1,Dinner,Boiled,Muscle Gain
1160,Whole Wheat Pasta (Low Sodium),Grains and Cereals,Italian,1,1 cup (140g),181,7.4,36.0,0.8,6.2,1.2,Dinner,Boiled,Muscle Gain
1161,Whole Wheat Pasta (Extra Portion),Grains and Cereals,Italian,1,1 cup (140g),226,9.1,45.1,1.0,7.7,1.5,Dinner,Boiled,Muscle Gain
1162,Whole Wheat Pasta (Half Portion),Grains and Cereals,Italian,1,1 cup (140g),102,4.2,20.5,0.4,3.5,0.7,Dinner,Boiled,Muscle Gain
1163,Whole Wheat Pasta (With Olive Oil),Grains and Cereals,Italian,1,1 cup (140g),186,7.5,36.4,1.1,6.5,1.2,Dinner,Boiled,Muscle Gain
1164,Whole Wheat Pasta (Steamed),Grains and Cereals,Italian,1,1 cup (140g),183,8.1,36.0,0.7,7.1,1.1,Dinner,Boiled,Muscle Gain
1165,Whole Wheat Pasta (Nutrient Dense),Grains and Cereals,Italian,1,1 cup (140g),203,9.0,39.7,0.9,7.7,1.3,Dinner,Boiled,Muscle Gain
1166,Whole Wheat Pasta (Mild Flavor),Grains and Cereals,Italian,1,1 cup (140g),179,7.2,36.0,0.7,6.1,1.1,Dinner,Boiled,Muscle Gain
1167,Whole Wheat Pasta (Herb Infused),Grains and Cereals,Italian,1,1 cup (140g),185,7.6,36.8,0.8,6.7,1.2,Dinner,Boiled,Muscle Gain
